PERÍODO;HE 100%;ADIC.NOT
09/2013;0;0
10/2013;0;0,08
11/2013;8,43;0,03
12/2013;22,13;0,4
01/2014;25,17;53,25
02/2014;32,11;51,56
03/2014;19,45;40,4
04/2014;26,21;53,25
05/2014;38,29;48,37
06/2014;27,12;52,33
07/2014;32;48,57
08/2014;20,09;43,52
09/2014;27,26;57,05
10/2014;25,53;48,43
11/2014;20,02;48,35
12/2014;32,39;48,41
01/2015;13,39;41,39
02/2015;1,1;16,18
03/2015;20,02;45,09
04/2015;31,1;48,47
05/2015;40,47;48,37
06/2015;56,39;59,54
07/2015;56,39;59,54
08/2015;32,31;61,19
09/2015;62,5;61,09
10/2015;62,41;59,58
