MES_ANO;VALOR;FGTS;FGTS_REC.;CONTRIBUICAO_SOCIAL;CONTRIBUICAO_SOCIAL_REC.
09/2013;0;N;N;N;N
10/2013;798,81;N;N;N;N
11/2013;958,8;N;N;N;N
12/2013;584,93;N;N;N;N
01/2014;760,95;N;N;N;N
02/2014;0;N;N;N;N
03/2014;629,94;N;N;N;N
04/2014;1410,76;N;N;N;N
05/2014;942,62;N;N;N;N
06/2014;1090,81;N;N;N;N
07/2014;966,37;N;N;N;N
08/2014;794,91;N;N;N;N
09/2014;899,46;N;N;N;N
10/2014;583,5;N;N;N;N
11/2014;786,23;N;N;N;N
12/2014;425,87;N;N;N;N
01/2015;321,78;N;N;N;N
02/2015;48,7;N;N;N;N
03/2015;632,49;N;N;N;N
04/2015;939,88;N;N;N;N
05/2015;1021,36;N;N;N;N
06/2015;1166,62;N;N;N;N
07/2015;465,33;N;N;N;N
08/2015;881,06;N;N;N;N
09/2015;1112,6;N;N;N;N
10/2015;831,04;N;N;N;N
